SiteID;SiteName;Longitude;Latitude;Elevation;FullSiteCode;SiteCode;Rete;Comments;State
6630;Arco (Arboreto);10.883014;45.922291;115;322;322;32;Regionale_Trentino;Italy
6631;Campodenno;11.028354;46.259824;610;323;323;32;Regionale_Trentino;Italy
6632;Prezzo;10.631729;45.934202;680;324;324;32;Regionale_Trentino;Italy
6633;Villa Rendena;10.722822;46.06067;840;325;325;32;Regionale_Trentino;Italy
6634;Vigolo Vattaro;11.181354;46.00923;815;326;326;32;Regionale_Trentino;Italy
6635;Monte Bondone (G. Botanico);11.039854;46.021924;1552;327;327;32;Regionale_Trentino;Italy
6636;Tremalzo;10.683719;45.84185;1520;354;354;32;Regionale_Trentino;Italy
6637;Passo Brocon;11.659658;46.116488;1560;355;355;32;Regionale_Trentino;Italy
6638;Passo Tonale T0360;10.635572;46.261915;1880;360;360;32;Regionale_Trentino;Italy
6639;Pejo Frana;10.678177;46.364472;1580;366;366;32;Regionale_Trentino;Italy
6640;Cavalese (meteotrentino);11.451794;46.284762;958;367;367;32;Regionale_Trentino;Italy
6641;Viote del Bondone;11.055597;46.013749;1495;368;368;32;Regionale_Trentino;Italy
6642;Passo Sommo - Folgaria;11.206388;45.918907;1360;369;369;32;Regionale_Trentino;Italy
6643;Lases;11.218375;46.137987;740;371;371;32;Regionale_Trentino;Italy
6644;Malga Bissina;10.514022;46.053933;1750;373;373;32;Regionale_Trentino;Italy
6944;Paneveggio;11.747165;46.309382;1535;353;353;32;Regionale_Trentino;Italy
6945;Vallarsa (Malga Boffetal);11.166761;45.750769;1550;363;363;32;Regionale_Trentino;Italy
6946;Vermiglio (Capanna Presena);10.58013;46.227993;2730;364;364;32;Regionale_Trentino;Italy
6947;Cima Presena;10.583453;46.219964;3015;365;365;32;Regionale_Trentino;Italy
6948;Storo (Lodrone);10.535649;45.829107;392;370;370;32;Regionale_Trentino;Italy
6949;Monte Vioz (Rifugio Mantova);10.633891;46.384045;2950;372;372;32;Regionale_Trentino;Italy
6950;Rovereto (Malga Zugna);11.057866;45.807536;1610;374;374;32;Regionale_Trentino;Italy
6951;Marmolada (Pian Dei Fiacconi);11.860795;46.444738;2676;375;375;32;Regionale_Trentino;Italy
6952;Tesero (Pala De Sant;11.530301;46.346665;2200;376;376;32;Regionale_Trentino;Italy
6953;Cima Rosetta;11.833081;46.264631;2685;377;377;32;Regionale_Trentino;Italy
6954;San Lorenzo In Banale (Pergole;10.911055;46.066522;690;414;414;32;Regionale_Trentino;Italy
6955;Brentonico (Santa Caterina);10.959814;45.823933;727;443;443;32;Regionale_Trentino;Italy
6956;Ghiacciaio di Fradusta;11.871709;46.255107;2720;444;444;32;Regionale_Trentino;Italy
6957;Canazei (Coi de Paussa);11.849006;46.471964;2376;445;445;32;Regionale_Trentino;Italy
