SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;State;Comments
42;42;CORATO;16.4133194444;41.1527833333;249;NA;249;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
43;43;CORIGLIANO_D_OTRANTO;18.2557305556;40.1641277778;105;NA;105;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
44;44;CRISPIANO;17.2358083333;40.5990027778;264;NA;264;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
45;45;DELICETO;15.3890777778;41.2220472222;573;NA;573;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
46;46;DIGA_CELONE;15.4360361111;41.4243805556;170;NA;170;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
47;47;DIGA_OSENTO;15.5004638889;41.0033722222;503;NA;503;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
48;48;DIGA_RENDINA;15.7943916667;41.0497722222;214;NA;214;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
49;49;FAETO;15.1631972222;41.3220694444;776;NA;776;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
50;50;FASANO;17.3583333333;40.8380388889;121;NA;121;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
51;51;FOGGIA_(IST._SPER.LE_COLTURE_FORAGG.);15.5012777778;41.4602277778;84;NA;84;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
52;52;FOGGIA_(OSSERVATORIO);15.5427055556;41.4607444444;82;NA;82;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
53;53;FONTE_ROSA;15.7743;41.434275;25;NA;25;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
54;54;FORENZA;15.8481472222;40.8586277778;753;NA;753;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;FORTORE_A_RIPALTA;15.2666638889;41.8597583333;19;NA;19;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
55;55;GALATINA;18.1715055556;40.1720138889;84;NA;84;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
56;56;GALLIPOLI;17.9944777778;40.0545055556;31;NA;31;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
57;57;GINOSA;16.7574861111;40.5767722222;272;NA;272;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
58;58;GINOSA_MARINA;16.8844388889;40.4266027778;20;NA;20;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
59;59;GIOIA_DEL_COLLE;16.9230694444;40.8005027778;377;NA;377;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
60;60;GIOVINAZZO;16.6711055556;41.1854555556;25;NA;25;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;GRAVINA_DI_PUGLIA;16.4138916667;40.8251861111;401;NA;401;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
61;61;GROTTAGLIE;17.4413722222;40.5393361111;140;NA;140;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
62;62;GRUMO_APPULA;16.7103611111;41.0117;191;NA;191;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;ISOLE_TREMITI;15.5114944444;42.1251638889;35;NA;35;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
63;63;LACEDONIA;15.4258194444;41.0533444444;717;NA;717;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
64;64;LAGOPESOLE;15.7358388889;40.8030388889;782;NA;782;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;LATERZA;16.8;40.6166666667;347;NA;347;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
65;65;LATIANO;17.7098194444;40.5485638889;107;NA;107;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
66;66;LAVELLO;15.7951944444;41.0507777778;328;NA;328;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
67;67;LECCE;18.1675;40.3582944444;50;NA;50;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
68;68;LESINA;15.3532472222;41.862225;13;NA;13;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
69;69;LIZZANO;17.4487333333;40.3873638889;63;NA;63;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
