SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
135;28;Monte Cesen;12.02154;45.94433;1480;1480;NA;Veneto;OD:28;Italy
136;281;Adige a Badia Polesine ;11.4892;45.0992;11;11;NA;Veneto;OD:281;Italy
137;283;Brenta a Barziza ;11.7303;45.7772;119;119;NA;Veneto;OD:283;Italy
138;284;Adige a Boara Pisani ;11.7858;45.1006;5;5;NA;Veneto;OD:284;Italy
139;285;Tesina a Bolzano Vicentino ;11.6186;45.5936;43;43;NA;Veneto;OD:285;Italy
140;286;Frassine a Borgofrassine ;11.4842;45.2442;15;15;NA;Veneto;OD:286;Italy
141;287;Bacchiglione a Bovolenta ;11.935;45.265;6;6;NA;Veneto;OD:287;Italy
142;288;Frassine a Brancaglia ;11.6389;45.2444;15;15;NA;Veneto;OD:288;Italy
143;291;Gorzone a Carmignano ;11.6439;45.137;8;8;NA;Veneto;OD:291;Italy
144;292;Musone a Castelfranco Veneto ;11.9195;45.6722;41;41;NA;Veneto;OD:292;Italy
145;293;Adige a Cavarzere ;12.0822;45.1336;1;1;NA;Veneto;OD:293;Italy
146;294;Livenza a Cessalto ;12.7997;45.6561;1;1;NA;Veneto;OD:294;Italy
147;295;Gu� a Cologna Veneta ;11.3833;45.3097;23;23;NA;Veneto;OD:295;Italy
148;296;Meschio a Cordignano ;12.4208;45.9364;48;48;NA;Veneto;OD:296;Italy
149;297;Piave a Eraclea ;12.675;45.5592;1;1;NA;Veneto;OD:297;Italy
150;298;Monticano a Fontanelle ;12.4425;45.8225;17;17;NA;Veneto;OD:298;Italy
151;299;Monticano a Gorgo al Monticano;12.53889;45.77305;9;9;NA;Veneto;OD:299;Italy
152;3;Arabba;11.87637;46.49926;1653;1653;NA;Veneto;OD:3;Italy
153;300;Livenza a La Salute di Livenza ;12.6114;45.7906;9;9;NA;Veneto;OD:300;Italy
154;301;Adige a Legnago ;11.3142;45.1881;16;16;NA;Veneto;OD:301;Italy
155;302;Brenta a Limena ;11.8269;45.5092;23;23;NA;Veneto;OD:302;Italy
156;303;Bacchiglione a Longare ;11.6031;45.4836;28;28;NA;Veneto;OD:303;Italy
157;304;Gu� a Lonigo ;11.3875;45.3889;36;36;NA;Veneto;OD:304;Italy
158;306;Livenza a Meduna di Livenza ;12.6156;45.7726;8;8;NA;Veneto;OD:306;Italy
159;308;Bacchiglione a Montegalda ;11.6703;45.4356;23;23;NA;Veneto;OD:308;Italy
160;309;Piave a Nervesa della Battaglia ;12.2078;45.8306;86;86;NA;Veneto;OD:309;Italy
161;310;Monticano a Oderzo ;12.4978;45.7714;10;10;NA;Veneto;OD:310;Italy
162;312;Mincio a Peschiera Navigarda ;10.697;45.4411;69;69;NA;Veneto;OD:312;Italy
163;315;Agno a Ponte Brogliano ;11.3689;45.5831;155;155;NA;Veneto;OD:315;Italy
164;316;Piave a Ponte di Piave ;12.4578;45.6983;10;10;NA;Veneto;OD:316;Italy
165;319;Po a Porto Levante ;12.365;45.0431;1;1;NA;Veneto;OD:319;Italy
166;320;L�mene a Portogruaro ;12.675;45.7333;5;5;NA;Veneto;OD:320;Italy
167;321;Retrone a Vicenza S.Agostino ;11.5247;45.5264;34;34;NA;Veneto;OD:321;Italy
168;322;Alpone a S.Bonifacio ;11.265;45.3878;26;26;NA;Veneto;OD:322;Italy
169;323;Piave a S.Don� di Piave ;12.5653;45.6114;3;3;NA;Veneto;OD:323;Italy
170;325;Fratta a S.Salvaro ;11.4083;45.1981;14;14;NA;Veneto;OD:325;Italy
171;327;Piave a Segusino ;11.9525;45.9181;266;266;NA;Veneto;OD:327;Italy
172;328;Gorzone a Stanghella ;11.7578;45.1372;5;5;NA;Veneto;OD:328;Italy
173;329;Brenta a Stra ;11.9978;45.4025;9;9;NA;Veneto;OD:329;Italy
174;33;Follina;12.1173;45.9565;199;199;NA;Veneto;OD:33;Italy
175;330;Fratta a Valli Mocenighe ;11.5647;45.1483;9;9;NA;Veneto;OD:330;Italy
176;331;Monticano a Vazzola ;12.3986;45.8383;25;25;NA;Veneto;OD:331;Italy
177;332;Adige a Verona ;11.0008;45.4422;92;92;NA;Veneto;OD:332;Italy
178;333;Bacchiglione a Vicenza ;11.5472;45.5411;63;63;NA;Veneto;OD:333;Italy
179;334;Bacchiglione a Padova Voltabarozzo ;11.9139;45.3778;10;10;NA;Veneto;OD:334;Italy
180;345;Gallio;11.56333;45.86806;1141;1141;NA;Veneto;OD:345;Italy
181;346;La Secca;12.32638;46.12167;346;346;NA;Veneto;OD:346;Italy
182;348;Roncadin Chies d'Alpago CAE;12.4039;46.17278;818;818;NA;Veneto;OD:348;Italy
183;37;Passo Falzarego;12.00704;46.51806;2138;2138;NA;Veneto;OD:37;Italy
192;390;Malga Losch;11.5734;46.1545;2197;2197;NA;Veneto;OD:390;Italy
