SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
68;1440;Crucoli;17.00388889;39.42444444;279;279;NA;Calabria;OD:1440;Italy
69;1444;Montagna C.C.;16.80583333;39.39;818;818;NA;Calabria;OD:1444;Italy
70;1450;Umbriatico;16.91916667;39.35361111;301;301;NA;Calabria;OD:1450;Italy
71;1455;Ciro' Marina - Punta Alice;17.12611111;39.38416667;8;8;NA;Calabria;OD:1455;Italy
72;1456;Cir? Superiore;17.05880556;39.38158333;269;269;NA;Calabria;OD:1456;Italy
73;1460;Ciro' Marina;17.10944444;39.40777778;27;27;NA;Calabria;OD:1460;Italy
74;1470;San Giovanni in Fiore;16.71583333;39.26333333;967;967;NA;Calabria;OD:1470;Italy
76;1472;Juntura;16.72638861;39.23833333;1074;1074;NA;Calabria;OD:1472;Italy
77;1474;Torre Garga;16.66805528;39.27805556;1204;1204;NA;Calabria;OD:1474;Italy
78;1475;Trepid? Idrometro;16.69972194;39.20444444;1243;1243;NA;Calabria;OD:1475;Italy
79;1476;Schiena D'Asino;16.75972194;39.30916667;1086;1086;NA;Calabria;OD:1476;Italy
80;1480;Quaresima C.C.;16.44777778;39.21611111;1345;1345;NA;Calabria;OD:1480;Italy
81;1485;San Bernardo;16.60666639;39.3;1320;1320;NA;Calabria;OD:1485;Italy
82;1490;Lorica C.C.;16.51305556;39.25138889;1383;1383;NA;Calabria;OD:1490;Italy
83;1494;Rovale C.C.;16.55666639;39.25055556;1330;1330;NA;Calabria;OD:1494;Italy
84;1495;Botte Donato;16.45838889;39.28072222;1751;1751;NA;Calabria;OD:1495;Italy
85;1500;Nocelle - Arvo;16.545;39.24333333;1307;1307;NA;Calabria;OD:1500;Italy
86;1510;Sculca;16.50222222;39.32194444;1360;1360;NA;Calabria;OD:1510;Italy
87;1520;Monteoliveto C.C.;16.60305556;39.30583333;1320;1320;NA;Calabria;OD:1520;Italy
88;1524;Serralunga;16.67333306;39.25805556;1055;1055;NA;Calabria;OD:1524;Italy
89;1530;Stratalati C.C.;16.66583333;39.27861111;1222;1222;NA;Calabria;OD:1530;Italy
91;1540;Berberano C.C.;16.575;39.18166667;1335;1335;NA;Calabria;OD:1540;Italy
92;1550;Trepido';16.69777778;39.18861111;1243;1243;NA;Calabria;OD:1550;Italy
93;1560;Casa Pasquale;16.71888889;39.18111111;1122;1122;NA;Calabria;OD:1560;Italy
94;1570;Savelli;16.77277778;39.31277778;986;986;NA;Calabria;OD:1570;Italy
95;1580;Cerenzia;16.78333333;39.2425;596;596;NA;Calabria;OD:1580;Italy
96;1590;Belvedere Spinello;16.88777778;39.20722222;287;287;NA;Calabria;OD:1590;Italy
97;1600;Santa Severina;16.91222222;39.14638889;216;216;NA;Calabria;OD:1600;Italy
98;1610;Rocca di Neto;17.02277778;39.17527778;32;32;NA;Calabria;OD:1610;Italy
99;1620;Verzino;16.86222222;39.31305556;484;484;NA;Calabria;OD:1620;Italy
100;1630;Casabona;16.95583333;39.24805556;248;248;NA;Calabria;OD:1630;Italy
101;1640;San Nicola dell'Alto;16.96783333;39.29458333;500;500;NA;Calabria;OD:1640;Italy
102;1650;Strongoli;17.04777778;39.26555556;260;260;NA;Calabria;OD:1650;Italy
103;1660;Crepacuore;17.08999972;39.11722222;13;13;NA;Calabria;OD:1660;Italy
104;1665;Crotone - Ponte Forcosa;17.07111111;39.04111111;56;56;NA;Calabria;OD:1665;Italy
105;1667;Ponticelli a Ponte SS. 106;17.11416639;39.12916667;18;18;NA;Calabria;OD:1667;Italy
106;1670;Cutro;17.01522222;39.03663889;161;161;NA;Calabria;OD:1670;Italy
107;1675;Crotone - Papanice;17.02777778;39.0725;118;118;NA;Calabria;OD:1675;Italy
108;1680;Crotone;17.13111111;39.08694444;1;1;NA;Calabria;OD:1680;Italy
109;1685;Crotone - Ponte San Francesco;17.10358333;39.07080556;29;29;NA;Calabria;OD:1685;Italy
110;1690;Capo Colonne;17.20444444;39.02861111;1;1;NA;Calabria;OD:1690;Italy
111;1695;Crotone - Salica;17.12611111;39.01222222;145;145;NA;Calabria;OD:1695;Italy
112;1700;Isola di Capo Rizzuto - Campolongo;17.0088;38.94305556;151;151;NA;Calabria;OD:1700;Italy
113;1710;Cutro;17.01527778;39.03666667;161;161;NA;Calabria;OD:1710;Italy
114;1720;Steccato;16.92277778;38.94472222;42;42;NA;Calabria;OD:1720;Italy
115;1724;Cotronei;16.78055556;39.15944444;477;477;NA;Calabria;OD:1724;Italy
116;1730;Petilia Policastro;16.78777778;39.11083333;373;373;NA;Calabria;OD:1730;Italy
117;1731;Rivioto;16.81583333;39.13527778;235;235;NA;Calabria;OD:1731;Italy
118;1733;Roccabernarda -Serrarossa;16.889;39.07141667;49;49;NA;Calabria;OD:1733;Italy
119;1734;Belcastro SS 106;16.90794444;38.94313889;13;13;NA;Calabria;OD:1734;Italy
