SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
80;Chiusola;CHIU0;OD:CHIU0;44.33708;9.70385;591;Italy;Liguria;Quota ricavata da dem
81;Chiusola;CHIUS;OD:CHIUS;44.33775;9.70429;591;Italy;Liguria;Quota ricavata da dem
82;Chiavari;CHIV0;OD:CHIV0;44.31528;9.32333;NA;Italy;Liguria;Quota ricavata da dem
83;Ciaira;CIAI0;OD:CIAI0;43.83472;7.5555;168;Italy;Liguria;Quota ricavata da dem
84;Resordo;CICA0;OD:CICA0;44.4;9.34719;342;Italy;Liguria;Quota ricavata da dem
85;Cichero;CICHE;OD:CICHE;44.41704;9.32118;605;Italy;Liguria;Quota ricavata da dem
86;Cisano Sul Neva;CINE0;OD:CINE0;44.08569;8.14602;98;Italy;Liguria;Quota ricavata da dem
87;Cisano sul Neva;CISAN;OD:CISAN;44.08552;8.14573;98;Italy;Liguria;Quota ricavata da dem
89;Calice Ligure;CLGR0;OD:CLGR0;44.2031;8.29344;127;Italy;Liguria;Quota ricavata da dem
90;Colle Melosa;CMEL0;OD:CMEL0;43.9895;7.68451;1419;Italy;Liguria;Quota ricavata da dem
92;Camogli;CMGL0;OD:CMGL0;44.34704;9.15897;180;Italy;Liguria;Quota ricavata da dem
93;Cembrano;CMNO0;OD:CMNO0;44.3527;9.58509;367;Italy;Liguria;Quota ricavata da dem
94;Caminata;CMNT0;OD:CMNT0;44.33999;9.40959;201;Italy;Liguria;Quota ricavata da dem
96;Colle Belenda;COBE0;OD:COBE0;43.98152;7.69983;1267;Italy;Liguria;Quota ricavata da dem
97;Colle S. Bartolomeo;COCA0;OD:COCA0;44.01039;7.952;610;Italy;Liguria;Quota ricavata da dem
98;Cogoleto;COGO0;OD:COGO0;44.39092;8.64615;22;Italy;Liguria;Quota ricavata da dem
99;Comago;COMA0;OD:COMA0;44.49052;8.9705;290;Italy;Liguria;Quota ricavata da dem
100;Colle del Melogno;COME0;OD:COME0;44.23056;8.19732;1001;Italy;Liguria;Quota ricavata da dem
101;Colle di Nava;CONA0;OD:CONA0;44.08325;7.87331;963;Italy;Liguria;Quota ricavata da dem
