SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State;SiteName_CentroFunzionale
773;773;PETRIGNANO D'ASSISI;12.537;43.103;212;212;NA;Umbria;773;Italy;Petrignano d'Assisi
738;738;PETRIGNANO DEL LAGO - SP 302;11.953;43.161;301;301;NA;Umbria;738;Italy;Petrignano del Lago
2842;2842;PIANELLO;12.565;43.144;273;273;NA;Umbria;2842;Italy;Pianello
1522;1522;PIEDILUCO;12.767;42.534;389;389;NA;Umbria;1522;Italy;Piediluco
1680;1680;PIERANTONIO;12.382;43.26;231;231;NA;Umbria;1680;Italy;Pierantonio
4952;4952;PIEVE DI SADDI;12.362;43.427;594;594;NA;Umbria;4952;Italy;Pieve di Saddi
1516;1516;PISTRINO;12.158;43.497;299;299;NA;Umbria;1516;Italy;Pistrino
770;770;PONTE BETTONA;12.509;43.025;184;184;NA;Umbria;770;Italy;NA
804;804;PONTE BUGGIANINO;12.926;42.843;535;535;NA;Umbria;804;Italy;Ponte Buggianino
3542;3542;PONTE FELCINO;12.435;43.127;202;202;NA;Umbria;3542;Italy;Ponte Felcino
453;453;PONTE NUOVO;12.429;43.01;176;176;NA;Umbria;453;Italy;Ponte Nuovo di Torgiano
251;251;PONTE OSTERIA;12.056;42.874;259;259;NA;Umbria;251;Italy;NA
1521;1521;PONTE ROSCIANO;12.446;43.025;178;178;NA;Umbria;1521;Italy;NA
252;252;PONTE SANTA MARIA;12.021;42.896;241;241;NA;Umbria;252;Italy;Ponte S.Maria
4512;4512;PONTE TRESA;11.977;43.013;259;259;NA;Umbria;4512;Italy;NA
253;253;PONTICELLI;11.969;42.932;249;249;NA;Umbria;253;Italy;Ponticelli
4959;4959;PORNELLO;12.201;42.875;479;479;NA;Umbria;4959;Italy;Pornello
4855;4855;PRODO;12.235;42.768;431;431;NA;Umbria;4855;Italy;Prodo
798;798;RIPALVELLA;12.3;42.843;453;453;NA;Umbria;798;Italy;Ripalvella
794;794;SAN BENEDETTO VECCHIO;12.464;43.437;679;679;NA;Umbria;794;Italy;S.Benedetto Vecchio
793;793;SAN BIAGIO DELLA VALLE;12.28;43.017;237;237;NA;Umbria;793;Italy;S.Biagio della Valle
3537;3537;SAN GEMINI;12.54;42.609;255;255;NA;Umbria;3537;Italy;S.Gemini
750;750;SAN SAVINO;12.186;43.106;273;273;NA;Umbria;750;Italy;S.Savino
799;799;SAN SILVESTRO;12.674;42.756;369;369;NA;Umbria;799;Italy;S.Silvestro
772;772;SANTA LUCIA;12.239;43.422;269;269;NA;Umbria;772;Italy;NA
4848;4848;SELLANO;12.922;42.888;596;596;NA;Umbria;4848;Italy;Sellano
3540;3540;SERRAPARTUCCI;12.391;43.324;314;314;NA;Umbria;3540;Italy;NA
2002;2002;SPOLETO;12.739;42.756;323;323;NA;Umbria;2002;Italy;Spoleto
3549;3549;TERNI;12.65;42.56;129;129;NA;Umbria;3549;Italy;Terni
268;268;TODI;12.41;42.787;211;211;NA;Umbria;268;Italy;Todi
774;774;TODI NAIA;12.385;42.768;209;209;NA;Umbria;774;Italy;NA
4954;4954;TORRE DELL'OLMO;12.695;43.319;509;509;NA;Umbria;4954;Italy;Torre dell'Olmo
1517;1517;TORRE ORSINA;12.74;42.572;230;230;NA;Umbria;1517;Italy;NA
5216;5216;TRESA;12.059;43.049;274;274;NA;Umbria;5216;Italy;Tresa
4830;4830;TRESTINA;12.237;43.358;272;272;NA;Umbria;4830;Italy;Trestina
2001;2001;UMBERTIDE;12.35;43.313;322;322;NA;Umbria;2001;Italy;Umbertide
1682;1682;VALLO DI NERA;12.86;42.757;414;414;NA;Umbria;1682;Italy;Vallo di Nera
1679;1679;VALTOPINA;12.756;43.053;384;384;NA;Umbria;1679;Italy;NA
2000;2000;VERGHERETO;12.095;43.777;1168;1168;NA;Umbria;2000;Italy;NA
