SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale
56;126820;Napoli Camaldoli;14.19905556;40.85838889;389;389;NA;Campania;OD:126820;Italy;18891;Napoli Camaldoli;NA;NA
57;126830;Napoli Capodimonte;14.23258333;40.86166667;215;215;NA;Campania;OD:126830;Italy;18949;Napoli Capodimonte;NA;NA
58;126840;Forino;14.74580556;40.86005556;420;420;NA;Campania;OD:126840;Italy;18939;Forino;NA;NA
59;126850;Massa Lubrense;14.37122222;40.60541667;381;381;NA;Campania;OD:126850;Italy;18921;Massa Lubrense;NA;NA
60;126860;Cava dei Tirreni;14.70230556;40.70597222;194;194;NA;Campania;OD:126860;Italy;18917;Cava dei Tirreni;NA;NA
61;126870;Pellezzano;14.75652778;40.72880556;323;323;NA;Campania;OD:126870;Italy;18925;Pellezzano;NA;NA
62;126880;Salerno Genio Civile;14.75144444;40.67808333;54;54;NA;Campania;OD:126880;Italy;18957;Salerno Genio Civile;NA;NA
63;126890;Capri;14.23869444;40.54841667;78;78;NA;Campania;OD:126890;Italy;18919;Capri;NA;NA
64;126900;S.Martino Valle Caudina;14.67647222;40.99744444;835;835;NA;Campania;OD:126900;Italy;18905;S.Martino Valle Caudina;NA;NA
65;126910;Cervinara;14.63263889;41.0145;412;412;NA;Campania;OD:126910;Italy;18897;Cervinara;NA;NA
66;126920;Ottaviano;14.47880556;40.85497222;163;163;NA;Campania;OD:126920;Italy;18901;Ottaviano;NA;NA
67;126930;Visciano;14.58663889;40.92752778;438;438;NA;Campania;OD:126930;Italy;18903;Visciano;NA;NA
68;126940;Pimonte;14.50397222;40.67338889;473;473;NA;Campania;OD:126940;Italy;18935;Pimonte;NA;NA
69;126950;Mercogliano;14.73188889;40.92005556;661;661;NA;Campania;OD:126950;Italy;18937;Mercogliano;NA;NA
70;126960;Lettere;14.53202778;40.70355556;245;245;NA;Campania;OD:126960;Italy;18927;Lettere;NA;NA
71;126970;Corbara-S.Egidio M.;14.60127778;40.72483333;180;180;NA;Campania;OD:126970;Italy;18923;Corbara-S.Egidio M.;NA;NA
72;126980;Ischia - Monte Epomeo;13.89555556;40.71180556;349;349;NA;Campania;OD:126980;Italy;18955;Ischia - Monte Epomeo;NA;NA
73;126990;Arienzo;14.49980556;41.02966667;137;137;NA;Campania;OD:126990;Italy;18895;Arienzo;NA;NA
74;127000;Giffoni Valle Piana;14.91208333;40.78680556;890;890;NA;Campania;OD:127000;Italy;18964;Giffoni Valle Piana;NA;NA
75;127010;Monteforte Irpino;14.7215;40.88494444;496;496;NA;Campania;OD:127010;Italy;18931;Monteforte Irpino;NA;NA
76;127020;Pietramelara;14.20927778;41.26483333;174;174;NA;Campania;OD:127020;Italy;18887;Pietramelara;NA;NA
77;127030;Rotondi;14.58969444;41.02119444;498;498;NA;Campania;OD:127030;Italy;18893;Rotondi;NA;NA
78;127040;Salerno Giovi;14.83252778;40.67488889;222;222;NA;Campania;OD:127040;Italy;NA;NA;NA;NA
