SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;COD_RETE
13261;85460;Sogliano al Rubicone;12.301389;44.005;305;NA;305;Emilia;15
13262;85779;Solara;11.090767;44.771444;20;NA;20;Emilia;15
13263;812421;Sostegno;11.272371;44.665467;25;NA;25;Emilia;15
13264;85474;Spedaletto Pistoiese;10.943889;44.036944;820;NA;820;Emilia;15
13265;85780;Spilamberto;11.003838;44.511238;94;NA;94;Emilia;15
13266;85479;Spinazzino;11.626111;44.708889;8;NA;8;Emilia;15
13267;84759;Stabiazzoni;10.960551;44.056592;913;NA;913;Emilia;15
13268;85781;Stagno;10.225042;44.998442;31;NA;31;Emilia;15
13269;85974;Statto;9.585556;44.9;157;NA;157;Emilia;15
13270;85975;Stazzano;8.868889;44.733333;279;NA;279;Emilia;15
13271;84760;Strada San Zeno;11.88022;44.020897;310;NA;310;Emilia;15
13272;85782;Strettara centrale;10.701347;44.249036;972;NA;972;Emilia;15
13273;88241;Strinabecco;9.489578;44.450823;929;NA;929;Emilia;15
13274;85783;Succiso;10.192523;44.363422;975;NA;975;Emilia;15
13275;85784;Suzzara;10.752222;44.983333;20;NA;20;Emilia;15
13276;85727;Tagliole;10.601342;44.166765;1042;NA;1042;Emilia;15
13277;85728;Tarsogno;9.61802;44.44668;801;NA;801;Emilia;15
13278;814411;Tebano;11.782947;44.294236;48;NA;48;Emilia;15
13279;85729;Tegli;8.902222;44.583333;576;NA;576;Emilia;15
13280;84761;Teodorano;12.105175;44.085185;263;NA;263;Emilia;15
13281;811932;Teruzzi;9.685244;44.695031;1015;NA;1015;Emilia;15
13282;84762;Terzo di Carnaio;11.960789;43.882979;646;NA;646;Emilia;15
13283;85730;Tiedoli Barca;9.835556;44.533333;657;NA;657;Emilia;15
13284;84763;Tole di Vergato;11.059167;44.328611;693;NA;693;Emilia;15
13285;85731;Torre Degli alberi;9.218889;44.9;484;NA;484;Emilia;15
13286;85732;Torre Maina;10.867103;44.500499;192;NA;192;Emilia;15
13287;85976;Torriglia;9.154536;44.51485;739;NA;739;Emilia;15
13288;85733;Tortona Castello;8.870916;44.893583;157;NA;157;Emilia;15
13289;85977;Tortona Seminario;8.866447;44.898379;130;NA;130;Emilia;15
13290;811997;Travallino;11.569574;44.67442;10;NA;10;Emilia;15
13291;84764;Traversa;11.28534;44.111772;807;NA;807;Emilia;15
13292;85734;Traversetolo;10.385556;44.633333;165;NA;165;Emilia;15
13293;814393;Trebbio;11.837042;44.13657;520;NA;520;Emilia;15
13294;84765;Tredozio;11.744781;44.08044;415;NA;415;Emilia;15
13295;84766;Treppio;11.032952;44.081572;665;NA;665;Emilia;15
13296;84767;Umana;12.109722;44.552778000000004;1;NA;1;Emilia;15
13297;85735;Vaccarezza;9.202222;44.566667;1084;NA;1084;Emilia;15
13298;85978;Val Noci diga;9.035459;44.493966;665;NA;665;Emilia;15
13299;85736;Valbona;9.944477;44.499026;663;NA;663;Emilia;15
13300;85979;Valdena centrale;9.784202;44.444138;829;NA;829;Emilia;15
13301;85737;Vallazza;11.24301;45.012092;11;NA;11;Emilia;15
13302;84768;Valle Pega;12.171667;44.676389;3;NA;3;Emilia;15
13303;85738;Vallenzona;9.085556;44.6;807;NA;807;Emilia;15
13304;85739;Vallerano;10.185556;44.616667;477;NA;477;Emilia;15
13305;811933;Vallona Nuova;12.210427;44.886781;1;NA;1;Emilia;15
13306;85740;Valmozzola;9.885556;44.566667;550;NA;550;Emilia;15
13307;85741;Valsigiara;9.330275;44.640162;518;NA;518;Emilia;15
13308;85742;Valverde;9.23149;44.865665;617;NA;617;Emilia;15
13309;85743;Varano Marchesi;10.018889;44.75;327;NA;327;Emilia;15
