SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
2055;2530;VERRECCHIE (CAPPADOCIA);13.24861111;42.03583333;1039;1039;NA;Abruzzo;OD:2530;Italia
2056;2540;VILLA S.SEBASTIANO (TAGLIACOZZO);13.305;42.0325;887;887;NA;Abruzzo;OD:2540;Italia
2057;2550;COLLELONGO;13.57888889;41.8975;850;850;NA;Abruzzo;OD:2550;Italia
2058;2560;PERETO;13.10861111;42.05888889;931;931;NA;Abruzzo;OD:2560;Italia
2059;2570;CARSOLI, PIETRASECCA;13.13138889;42.13361111;893;893;NA;Abruzzo;OD:2570;Italia
2060;2580;OVINDOLI;13.51305556;42.155;1377;1377;NA;Abruzzo;OD:2580;Italia
2061;2590;SAN VINCENZO VALLE ROVETO, ROCCAVIVI;13.53111111;41.81916667;483;483;NA;Abruzzo;OD:2590;Italia
2062;260;ISOLA DEL G.SASSO  (PRETARA);13.665;42.48444444;552;552;NA;Abruzzo;OD:260;Italia
2063;2600;COLLARMELE;13.62583333;42.06;830;830;NA;Abruzzo;OD:2600;Italia
2064;2610;ORTUCCHIO;13.64861111;41.95722222;668;668;NA;Abruzzo;OD:2610;Italia
2065;2620;CELANO;13.53694444;42.07388889;709;709;NA;Abruzzo;OD:2620;Italia
2067;270;CASTELLI;13.71194444;42.48472222;509;509;NA;Abruzzo;OD:270;Italia
2068;275;TOSSICIA - AZZINANO;13.63194444;42.55638889;559;559;NA;Abruzzo;OD:275;Italia
2069;280;TOSSICIA;13.65233333;42.55;422;422;NA;Abruzzo;OD:280;Italia
2071;30;NERETO;13.81277778;42.82194444;159;159;NA;Abruzzo;OD:30;Italia
2072;300;GUARDIA VOMANO;13.8975;42.63388889;121;121;NA;Abruzzo;OD:300;Italia
2073;310;PONTE VOMANO;13.76861111;42.60888889;135;135;NA;Abruzzo;OD:310;Italia
2074;320;NOTARESCO;13.85777778;42.67416667;271;271;NA;Abruzzo;OD:320;Italia
2075;325;CASOLI DI ATRI;13.98194444;42.6225;107;107;NA;Abruzzo;OD:325;Italia
2076;330;SILVI ALTA;14.0625;42.56222222;244;244;NA;Abruzzo;OD:330;Italia
2077;331;SILVI MARINA;14.10027778;42.56861111;2;2;NA;Abruzzo;OD:331;Italia
2078;333;PINETO;14.055;42.62361111;24;24;NA;Abruzzo;OD:333;Italia
2079;335;CERMIGNANO;13.79666667;42.59138889;468;468;NA;Abruzzo;OD:335;Italia
2080;340;ATRI;13.96861111;42.57972222;382;382;NA;Abruzzo;OD:340;Italia
2081;342;ATRI 2 (Calanchi);13.99833333;42.5725;274;274;NA;Abruzzo;OD:342;Italia
2082;350;CITTA' S.ANGELO;14.05083333;42.51638889;222;222;NA;Abruzzo;OD:350;Italia
2083;360;VALLE D'ANGRI;13.80233333;42.41666667;723;723;NA;Abruzzo;OD:360;Italia
2084;370;FARINDOLA;13.81972222;42.44138889;436;436;NA;Abruzzo;OD:370;Italia
2085;380;PENNE;13.9175;42.46444444;408;408;NA;Abruzzo;OD:380;Italia
2087;395;LORETO APRUTINO;13.94694444;42.38416667;259;259;NA;Abruzzo;OD:395;Italia
2088;40;CIVITELLA DEL TRONTO;13.66777778;42.77333333;518;518;NA;Abruzzo;OD:40;Italia
2089;400;MOSCUFO;14.06666667;42.42611111;165;165;NA;Abruzzo;OD:400;Italia
2094;410;ARSITA;13.79805556;42.5;531;531;NA;Abruzzo;OD:410;Italia
2112;430;MONTEFINO;13.88583333;42.54694444;304;304;NA;Abruzzo;OD:430;Italia
2122;440;MONTESILVANO ALTA;14.12972222;42.48916667;91;91;NA;Abruzzo;OD:440;Italia
2133;45;S. OMERO;13.77638889;42.78861111;172;172;NA;Abruzzo;OD:45;Italia
2135;470;MONTEREALE;13.24138889;42.52611111;914;914;NA;Abruzzo;OD:470;Italia
2136;490;TERMINE;13.20777778;42.445;1057;1057;NA;Abruzzo;OD:490;Italia
2137;50;GIULIANOVA;13.95277778;42.74805556;53;53;NA;Abruzzo;OD:50;Italia
2138;5010;VIBRATA ad ALBA  ADRIATICA;13.91916667;42.83583333;6;6;NA;Abruzzo;OD:5010;Italia
2139;510;PIZZOLI;13.3175;42.42861111;783;783;NA;Abruzzo;OD:510;Italia
2141;5120;SALINELLO a CAVATASSI;13.90583333;42.78388889;34;34;NA;Abruzzo;OD:5120;Italia
2142;520;TORNIMPARTE;13.30166667;42.28861111;865;865;NA;Abruzzo;OD:520;Italia
2143;5210;TORDINO a TERAMO;13.71472222;42.65416667;254;254;NA;Abruzzo;OD:5210;Italia
2144;5230;TORDINO a CORDESCO;13.87527778;42.69805556;84;84;NA;Abruzzo;OD:5230;Italia
2145;530;SCOPPITO;13.255;42.37222222;777;777;NA;Abruzzo;OD:530;Italia
2146;5320;VOMANO a SENARICA e  PIANO VOMANO;14.03566667;42.55;175;175;NA;Abruzzo;OD:5320;Italia
2147;5360;RIO ARNO a P.TE RIO ARNO;13.54805556;42.55416667;542;542;NA;Abruzzo;OD:5360;Italia
2149;5380;MAVONE ad ISOLA  DEL GRAN SASSO;13.669;42.5;513;513;NA;Abruzzo;OD:5380;Italia
2150;5390;RUZZO a PRETARA;13.669;42.48333333;578;578;NA;Abruzzo;OD:5390;Italia
2151;540;CASAMAINA;13.38575;42.2575;1495;1495;NA;Abruzzo;OD:540;Italia
2152;5400;RUZZO ad ISOLA  DEL GRAN SASSO;13.669;42.5;513;513;NA;Abruzzo;OD:5400;Italia
2153;5408;VOMANO a BASCIANO;13.715;42.61222222;217;217;NA;Abruzzo;OD:5408;Italia
2154;5410;VOMANO a PONTE  VOMANO;13.75244444;42.60916667;150;150;NA;Abruzzo;OD:5410;Italia
2155;5430;VOMANO a VILLA VOMANO;13.75233333;42.6;177;177;NA;Abruzzo;OD:5430;Italia
2156;5440;VOMANO a FONTANELLE  DI ATRI;13.92111111;42.62416667;58;58;NA;Abruzzo;OD:5440;Italia
2157;545;L'AQUILA CF;13.37444444;42.35666667;631;631;NA;Abruzzo;OD:545;Italia
2158;55;ROCCA S. MARIA fr.IMPOSTA;13.52583333;42.68833333;1041;1041;NA;Abruzzo;OD:55;Italia
2159;550;L'AQUILA;13.42861111;42.33416667;618;618;NA;Abruzzo;OD:550;Italia
2160;5590;PIOMBA a SILVI;14.12833333;42.52805556;14;14;NA;Abruzzo;OD:5590;Italia
2161;5638;TAVO a MOLINO CRETARA;13.919;42.43333333;244;244;NA;Abruzzo;OD:5638;Italia
2162;5639;TAVO A LORETO APRUTINO;13.93583333;42.42166667;202;202;NA;Abruzzo;OD:5639;Italia
2163;5640;TAVO a S.PELLEGRINO;13.93566667;42.41666667;202;202;NA;Abruzzo;OD:5640;Italia
2164;5675;FINO A PICCIANO;13.99027778;42.49083333;114;114;NA;Abruzzo;OD:5675;Italia
2165;5678;SALINE A VILLA CARMINE;14.12;42.50222222;17;17;NA;Abruzzo;OD:5678;Italia
2166;5710;ATERNO a TRE PONTI;13.25805556;42.47638889;848;848;NA;Abruzzo;OD:5710;Italia
2167;5730;ATERNO a L'AQUILA;13.38055556;42.35055556;629;629;NA;Abruzzo;OD:5730;Italia
2168;5750;ATERNO A FAGNANO;13.56722222;42.24805556;599;599;NA;Abruzzo;OD:5750;Italia
2169;5770;ATERNO a MOLINA;13.75305556;42.13722222;575;575;NA;Abruzzo;OD:5770;Italia
2170;580;CAMPO IMPERATORE;13.55777778;42.44388889;2207;2207;NA;Abruzzo;OD:580;Italia
2171;5800;TASSO a SCANNO;13.87194444;41.9175;992;992;NA;Abruzzo;OD:5800;Italia
2172;5810;LAGO di SCANNO a SCANNO  (MADONNA del LAGO);13.86902778;41.91833333;992;992;NA;Abruzzo;OD:5810;Italia
