SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;State;Comments
110;110;Jesi;13.229972;43.531944;100;NA;100;Marche;Jesi;Jesi;OD:110;Jesi;Jesi;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
111;111;Agugliano;13.380667;43.543278;170;NA;170;Marche;Agugliano;Agugliano;OD:111;Agugliano;Agugliano;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
112;112;Villa Fastiggi;12.86939;43.89061;22;NA;22;Marche;Villa Fastiggi;Villa Fastiggi;OD:112;Villa Fastiggi;Pesaro;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
116;116;Osimo;13.449279;43.447353;60;NA;60;Marche;Osimo;Osimo;OD:116;Passatempo;Osimo;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
117;117;Filottrano;13.351167;43.435833;305;NA;305;Marche;Filottrano;Filottrano;OD:117;Filottrano;Filottrano;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
118;118;Cupramontana;13.115717;43.445461;510;NA;510;Marche;Cupramontana;Cupramontana;OD:118;Cupramontana;Cupramontana;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
119;119;Montecarotto;13.056502;43.534794;350;NA;350;Marche;Montecarotto;Montecarotto;OD:119;Colle;Montecarotto;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
121;121;Marotta Cesano;13.171053;43.749657;7;NA;7;Marche;Marotta Cesano;Marotta Cesano;OD:121;Cesano di Senigallia;Senigallia;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
123;123;Arcevia;12.936685;43.497452;535;NA;535;Marche;Arcevia;Arcevia;OD:123;Arcevia;Arcevia;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
124;124;Loro Piceno;13.403673;43.159931;430;NA;430;Marche;Loro Piceno;Loro Piceno;OD:124;Grazia Fiastra;Loro Piceno;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
128;128;Recanati;13.59325;43.383694;25;NA;25;Marche;Recanati;Recanati;OD:128;Recanati;Recanati;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
130;130;Camerino;13.067975;43.140064;581;NA;581;Marche;Camerino;Camerino;OD:130;Camerino;Camerino;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
131;131;Pie' del Sasso;12.994152;42.983742;960;NA;960;Marche;Pie' del Sasso;Pie' del Sasso;OD:131;Pantaneto;Monte Cavallo;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
133;133;Umito;13.406583;42.737415;646;NA;646;Marche;Umito;Umito;OD:133;Umito;Acquasanta Terme;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
134;134;Capodacqua;13.238181;42.73848;842;NA;842;Marche;Capodacqua;Capodacqua;OD:134;Capodacqua;Arquata del Tronto;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
136;136;Mozzano;13.53753;42.849648;193;NA;193;Marche;Mozzano;Mozzano;OD:136;Mozzano;Ascoli Piceno;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
137;137;Spinetoli;13.775472;42.85936;30;NA;30;Marche;Spinetoli;Spinetoli;OD:137;Spinetoli;Spinetoli;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
139;139;Rotella;13.568578;42.954037;385;NA;385;Marche;Rotella;Rotella;OD:139;Rotella;Rotella;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
