SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
72;Prapiero ponte svincolo gallerie;A471;OD:A471;46.1953;12.6039;450;Italy;FVG;Quota ricavata da dem
73;Val Pentina casa Bimbo;A472;OD:A472;46.1874;12.5369;490;Italy;FVG;Quota ricavata da dem
74;SAN LEONARDO VALCELLINA PARTIDOR;A480;OD:A480;46.0983;12.7058;214;Italy;FVG;Quota ricavata da dem
75;LA CROSETTA;A600;OD:A600;46.0353;12.4052;1132;Italy;FVG;Quota ricavata da dem
76;VAL SUGHET;A601;OD:A601;46.1193;12.5041;1770;Italy;FVG;Quota ricavata da dem
77;CANDAGLIA;A603;OD:A603;46.0641;12.4428;1288;Italy;FVG;Quota ricavata da dem
78;LUOGO DI GIULIO;A610;OD:A610;46.1396;12.7117;269;Italy;FVG;Quota ricavata da dem
79;SAN QUIRINO LA ROIATA;A620;OD:A620;46.0166;12.6398;109;Italy;FVG;Quota ricavata da dem
80;SAN QUIRINO OFFICINA C.B.C.M.;A621;OD:A621;46.0318;12.6312;122;Italy;FVG;Quota ricavata da dem
81;SAN MARTINO DI CAMPAGNA;A622;OD:A622;46.0785;12.6441;188;Italy;FVG;Quota ricavata da dem
82;RAUSCEDO STAZIONE DI POMPAGGIO C.B.C.M.;A623;OD:A623;46.0657;12.8244;109;Italy;FVG;Quota ricavata da dem
83;BASALDELLA DI VIVARO;A624;OD:A624;46.0882;12.7906;139;Italy;FVG;Quota ricavata da dem
84;SAN LEONARDO VALCELLINA;A625;OD:A625;46.0982;12.6824;220;Italy;FVG;Quota ricavata da dem
85;VILLA RINALDI;A626;OD:A626;46.0295;12.7074;95;Italy;FVG;Quota ricavata da dem
86;CORDENONS ACQUEDOTTO SAN GIOVANNI;A627;OD:A627;46.0092;12.7004;72;Italy;FVG;Quota ricavata da dem
87;FORCATE EX ACQUEDOTTO;A640;OD:A640;45.9986;12.5886;70;Italy;FVG;Quota ricavata da dem
88;COLESIT;A641;OD:A641;46.0124;12.5548;72;Italy;FVG;Quota ricavata da dem
89;VILLADOLT;A642;OD:A642;45.9792;12.5683;50;Italy;FVG;Quota ricavata da dem
90;VIGONOVO;A643;OD:A643;45.9859;12.5452;46;Italy;FVG;Quota ricavata da dem
91;ERTO;B001;OD:B001;46.2778;12.3707;830;Italy;FVG;Quota ricavata da dem
92;RIFUGIO MANIAGO;B004;OD:B004;46.3207;12.3937;1906;Italy;FVG;Quota ricavata da dem
93;MAURIA;C001;OD:C001;46.4447;12.539;1096;Italy;FVG;Quota ricavata da dem
94;FORNI DI SOPRA;C003;OD:C003;46.4236;12.5832;989;Italy;FVG;Quota ricavata da dem
95;ANDRAZZA;C006;OD:C006;46.4047;12.5876;850;Italy;FVG;Quota ricavata da dem
96;VARMOST PLAN DAI POS;C009;OD:C009;46.4546;12.5596;1913;Italy;FVG;Quota ricavata da dem
97;PASSO DELLA MORTE STAVOLO MEZZAN;C022;OD:C022;46.3928;12.7151;771;Italy;FVG;Quota ricavata da dem
98;Caprizi;C023;OD:C023;46.3732;12.7792;619;Italy;FVG;Quota ricavata da dem
99;MALGA CJAMPIUZ;C032;OD:C032;46.3512;12.679;1585;Italy;FVG;Quota ricavata da dem
100;Invillino Madonna del Ponte;C050;OD:C050;46.4038;12.9296;356;Italy;FVG;Quota ricavata da dem
101;Tolmezzo Ponte Avons;C051;OD:C051;46.3902;13.0129;295;Italy;FVG;Quota ricavata da dem
102;SELLA CHIANZUTAN;C052;OD:C052;46.3589;12.9403;1097;Italy;FVG;Quota ricavata da dem
103;SAURIS DI SOPRA;C100;OD:C100;46.4673;12.6819;1543;Italy;FVG;Quota ricavata da dem
104;SAURIS DI SOTTO;C101;OD:C101;46.4656;12.7081;1163;Italy;FVG;Quota ricavata da dem
