SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
100;MOMBALDONE BORMIDA;236;OD:236;44.568949;8.335125;206;Italy;Piemonte;Quota ricavata da dem
101;LAGO AGNEL;237;OD:237;45.467888;7.139207;2326;Italy;Piemonte;Quota ricavata da dem
102;PIAMPRATO;239;OD:239;45.556817;7.573003;1609;Italy;Piemonte;Quota ricavata da dem
103;TRAVERSELLA;240;OD:240;45.528227;7.708164;1174;Italy;Piemonte;Quota ricavata da dem
104;CAVALLARIA;241;OD:241;45.517119;7.808312;1088;Italy;Piemonte;Quota ricavata da dem
105;CESANA THURAS;242;OD:242;44.88959;6.844015;1982;Italy;Piemonte;Quota ricavata da dem
106;PONZONE CIMAFERLE;243;OD:243;44.553641;8.492302;636;Italy;Piemonte;Quota ricavata da dem
107;ROCCAVERANO;244;OD:244;44.610625;8.301101;503;Italy;Piemonte;Quota ricavata da dem
108;PIANO AUDI;245;OD:245;45.353583;7.517517;1252;Italy;Piemonte;Quota ricavata da dem
109;CASTELLETTO UZZONE;246;OD:246;44.493061;8.188103;411;Italy;Piemonte;Quota ricavata da dem
110;FRONT MALONE;247;OD:247;45.283373;7.665753;271;Italy;Piemonte;Quota ricavata da dem
111;TORINO VALLERE;249;OD:249;45.016984;7.673922;221;Italy;Piemonte;Quota ricavata da dem
112;ALA DI STURA;250;OD:250;45.312406;7.31043;1063;Italy;Piemonte;Quota ricavata da dem
113;FORNO ALPI GRAIE;253;OD:253;45.360516;7.224243;1259;Italy;Piemonte;Quota ricavata da dem
114;PRAROTTO;255;OD:255;45.146523;7.238165;1366;Italy;Piemonte;Quota ricavata da dem
115;VENARIA CERONDA;256;OD:256;45.134224;7.631325;255;Italy;Piemonte;Quota ricavata da dem
116;COLLE BERCIA;257;OD:257;44.921011;6.783162;2223;Italy;Piemonte;Quota ricavata da dem
117;BARCENISIO;258;OD:258;45.19179;6.985;1435;Italy;Piemonte;Quota ricavata da dem
118;COAZZE;260;OD:260;45.042072;7.243724;1110;Italy;Piemonte;Quota ricavata da dem
119;CLOT DELLA SOMA;261;OD:261;44.982706;6.941566;2034;Italy;Piemonte;Quota ricavata da dem
120;SESTRIERE;262;OD:262;44.95122;6.874858;1998;Italy;Piemonte;Quota ricavata da dem
121;PRALY;264;OD:264;44.904828;7.057527;1436;Italy;Piemonte;Quota ricavata da dem
122;PRA' CATINAT;265;OD:265;45.037015;7.074704;1653;Italy;Piemonte;Quota ricavata da dem
123;TALUCCO;268;OD:268;44.948902;7.29053;897;Italy;Piemonte;Quota ricavata da dem
124;MASSAZZA;272;OD:272;45.47291;8.169854;222;Italy;Piemonte;Quota ricavata da dem
125;BAUDUCCHI;273;OD:273;44.960112;7.708604;225;Italy;Piemonte;Quota ricavata da dem
126;MARENTINO;274;OD:274;45.046339;7.878888;326;Italy;Piemonte;Quota ricavata da dem
127;BRA - ISOLA SONORA;275;OD:275;44.692246;7.839463;278;Italy;Piemonte;Quota ricavata da dem
128;PERRERO GERMANASCA;276;OD:276;44.946557;7.16275;765;Italy;Piemonte;Quota ricavata da dem
129;PAESANA;277;OD:277;44.661515;7.262949;1092;Italy;Piemonte;Quota ricavata da dem
130;TRANA SANGONE;278;OD:278;45.03551;7.420013;379;Italy;Piemonte;Quota ricavata da dem
131;PARELLA CHIUSELLA;279;OD:279;45.419971;7.798087;255;Italy;Piemonte;Quota ricavata da dem
132;GOVONE;280;OD:280;44.786909;8.113116;138;Italy;Piemonte;Quota ricavata da dem
133;VILLANOVA SOLARO;281;OD:281;44.734694;7.569869;266;Italy;Piemonte;Quota ricavata da dem
134;PONTECHIANALE;283;OD:283;44.611974;7.052509;1650;Italy;Piemonte;Quota ricavata da dem
135;CARTOSIO ERRO;284;OD:284;44.573441;8.421146;270;Italy;Piemonte;Quota ricavata da dem
136;PIANA CRIXIA BORMIDA;286;OD:286;44.49042;8.309518;332;Italy;Piemonte;Quota ricavata da dem
137;FOSSANO STURA DI DEMONTE;292;OD:292;44.523878;7.724333;345;Italy;Piemonte;Quota ricavata da dem
138;CASTELMAGNO;294;OD:294;44.400024;7.168214;1913;Italy;Piemonte;Quota ricavata da dem
139;DIGA LA PIASTRA;295;OD:295;44.226767;7.388735;920;Italy;Piemonte;Quota ricavata da dem
140;ARGENTERA;298;OD:298;44.39536;6.939459;1788;Italy;Piemonte;Quota ricavata da dem
141;COLLE BARANT;003;OD:003;44.774458;7.060564;2287;Italy;Piemonte;Quota ricavata da dem
143;VALDIERI;303;OD:303;44.204772;7.268158;1554;Italy;Piemonte;Quota ricavata da dem
144;SASSELLO;305;OD:305;44.473479;8.48368;428;Italy;Piemonte;Quota ricavata da dem
145;GAVI;306;OD:306;44.693765;8.796185;265;Italy;Piemonte;Quota ricavata da dem
146;CHIUSA PESIO;307;OD:307;44.233407;7.660203;924;Italy;Piemonte;Quota ricavata da dem
147;UPEGA;308;OD:308;44.129537;7.725378;1403;Italy;Piemonte;Quota ricavata da dem
148;RIFUGIO MONDOVI';309;OD:309;44.191689;7.732122;1696;Italy;Piemonte;Quota ricavata da dem
149;BORELLO;310;OD:310;44.223763;7.833183;1150;Italy;Piemonte;Quota ricavata da dem
150;PAMPARATO;311;OD:311;44.283186;7.904382;965;Italy;Piemonte;Quota ricavata da dem
151;MONTE BERLINO;312;OD:312;44.204936;7.933318;1468;Italy;Piemonte;Quota ricavata da dem
152;GARESSIO TANARO;313;OD:313;44.201952;8.015159;581;Italy;Piemonte;Quota ricavata da dem
153;PRIERO;314;OD:314;44.377157;8.10814;553;Italy;Piemonte;Quota ricavata da dem
154;MONDOVI';315;OD:315;44.395602;7.810511;414;Italy;Piemonte;Quota ricavata da dem
155;BELVEDERE LANGHE;316;OD:316;44.500179;7.975094;556;Italy;Piemonte;Quota ricavata da dem
156;BRA;317;OD:317;44.701199;7.851553;327;Italy;Piemonte;Quota ricavata da dem
157;CASTELLINALDO;318;OD:318;44.770155;8.026845;245;Italy;Piemonte;Quota ricavata da dem
158;MANGO;319;OD:319;44.708147;8.147243;317;Italy;Piemonte;Quota ricavata da dem
159;TREISO;320;OD:320;44.677439;8.082034;328;Italy;Piemonte;Quota ricavata da dem
160;PRUNETTO;322;OD:322;44.509751;8.163062;743;Italy;Piemonte;Quota ricavata da dem
161;FOSSANO;323;OD:323;44.53885;7.787194;402;Italy;Piemonte;Quota ricavata da dem
162;RODELLO;324;OD:324;44.639699;8.053187;385;Italy;Piemonte;Quota ricavata da dem
163;BERGALLI;325;OD:325;44.406799;8.182114;414;Italy;Piemonte;Quota ricavata da dem
164;SOMERARO;326;OD:326;45.888993;8.51193;365;Italy;Piemonte;Quota ricavata da dem
165;FEISOGLIO;327;OD:327;44.545809;8.112115;705;Italy;Piemonte;Quota ricavata da dem
166;PIANTORRE TANARO;328;OD:328;44.417841;7.972087;431;Italy;Piemonte;Quota ricavata da dem
167;RODDINO;329;OD:329;44.578601;8.008771;520;Italy;Piemonte;Quota ricavata da dem
168;BALDISSERO D'ALBA;332;OD:332;44.752347;7.921427;301;Italy;Piemonte;Quota ricavata da dem
169;CALDIROLA;334;OD:334;44.718018;9.151497;1035;Italy;Piemonte;Quota ricavata da dem
170;FORMAZZA BRUGGI;336;OD:336;46.347667;8.428795;1408;Italy;Piemonte;Quota ricavata da dem
171;LARECCHIO;337;OD:337;46.204817;8.431522;1867;Italy;Piemonte;Quota ricavata da dem
172;MACUGNAGA PECETTO;338;OD:338;45.972198;7.957718;1379;Italy;Piemonte;Quota ricavata da dem
173;CANNOBIO;339;OD:339;46.065502;8.691276;215;Italy;Piemonte;Quota ricavata da dem
174;CICOGNA;340;OD:340;46.003659;8.491588;597;Italy;Piemonte;Quota ricavata da dem
175;ALAGNA;341;OD:341;45.874425;7.936058;1458;Italy;Piemonte;Quota ricavata da dem
176;DRONERO;342;OD:342;44.451344;7.410737;576;Italy;Piemonte;Quota ricavata da dem
177;BOCCIOLETO;343;OD:343;45.834773;8.111402;841;Italy;Piemonte;Quota ricavata da dem
178;CAMPARIENT;344;OD:344;45.7321;8.08491;1292;Italy;Piemonte;Quota ricavata da dem
