SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;SiteName_CentroFunzionale;FullSiteCode;State
345;47200;Aniene a Ponte Salario;12.5083;41.9394;31;31;NA;Lazio;Ponte Salario;OD:47200;Italy
348;476800;Lugnano;12.9225;42.4342;637;637;NA;Lazio;Lugnano;OD:476800;Italy
351;477100;Filettino;13.3297;41.8894;1073;1073;NA;Lazio;Filettino;OD:477100;Italy
352;477200;Lenola;13.4633;41.4089;480;480;NA;Lazio;Lenola;OD:477200;Italy
353;477300;Roma Bufalotta;12.5456;41.9569;45;45;NA;Lazio;Roma Bufalotta;OD:477300;Italy
354;477400;Rosolino Pilo;12.4631;41.8825;47;47;NA;Lazio;Rosolino Pilo;OD:477400;Italy
357;477700;Baccano;12.3669;42.1181;291;291;NA;Lazio;Baccano;OD:477700;Italy
358;477900;Fiano Romano;12.6078;42.1267;24;24;NA;Lazio;Fiano Romano;OD:477900;Italy
359;478000;Formello;12.4011;42.0797;232;232;NA;Lazio;Formello;OD:478000;Italy
360;478100;Massimina;12.3656;41.8853;68;68;NA;Lazio;Massimina;OD:478100;Italy
361;478200;Montelibretti;12.7389;42.1347;208;208;NA;Lazio;Montelibretti;OD:478200;Italy
362;478300;Moricone;12.7736;42.1169;236;236;NA;Lazio;Moricone;OD:478300;Italy
363;478400;Palombara Sabina;12.765;42.0667;289;289;NA;Lazio;Palombara Sabina;OD:478400;Italy
364;478500;Roma EUR;12.4842;41.8353;28;28;NA;Lazio;Roma EUR;OD:478500;Italy
365;478600;Toma Flaminio;12.4688;41.928;19;19;NA;Lazio;Toma Flaminio;OD:478600;Italy
368;479000;Posta;13.1008;42.5283;779;779;NA;Lazio;Posta;OD:479000;Italy
369;479100;Rocca di Papa;12.7103;41.7603;670;670;NA;Lazio;Rocca di Papa;OD:479100;Italy
370;479200;Borgorose;13.2317;42.1931;822;822;NA;Lazio;Borgorose;OD:479200;Italy
371;479300;Cittareale;13.1631;42.5906;804;804;NA;Lazio;Cittareale;OD:479300;Italy
372;479400;Collalto Sabino;13.0481;42.1397;897;897;NA;Lazio;Collalto Sabino;OD:479400;Italy
373;479500;Micigliano;13.0539;42.4522;948;948;NA;Lazio;Micigliano;OD:479500;Italy
374;479600;Anzio;12.6303;41.45;34;34;NA;Lazio;Anzio;OD:479600;Italy
375;479700;Roma Monte Mario;12.4356;41.9356;111;111;NA;Lazio;Roma Monte Mario;OD:479700;Italy
376;479800;Arsoli;13.0197;42.0361;415;415;NA;Lazio;Arsoli;OD:479800;Italy
377;479900;Bagnoregio;12.1025;42.6261;366;366;NA;Lazio;Bagnoregio;OD:479900;Italy
378;480000;Cittaducale;12.9519;42.3858;503;503;NA;Lazio;Cittaducale;OD:480000;Italy
379;480100;Guidonia;12.7264;42;159;159;NA;Lazio;Guidonia;OD:480100;Italy
380;480200;Licenza;12.8997;42.075;553;553;NA;Lazio;Licenza;OD:480200;Italy
381;480300;Monterotondo ETG;12.6169;42.0514;119;119;NA;Lazio;Monterotondo ETG;OD:480300;Italy
382;480400;Morlupo;12.5067;42.1436;223;223;NA;Lazio;Morlupo;OD:480400;Italy
383;480500;Palestrina;12.8814;41.8381;428;428;NA;Lazio;Palestrina;OD:480500;Italy
384;480600;Riano;12.5039;42.1014;171;171;NA;Lazio;Riano;OD:480600;Italy
388;481000;Monte Terminillo;12.9928;42.4556;1594;1594;NA;Lazio;Monte Terminillo;OD:481000;Italy
419;573500;Osteria di Castro;13.4069;41.5128;210;210;NA;Lazio;Osteria di Castro;OD:573500;Italy
420;573600;Borgo Montello;12.7697;41.5125;25;25;NA;Lazio;Borgo Montello;OD:573600;Italy
430;574600;Canino rlazio;11.7489;42.4644;212;212;NA;Lazio;Canino rlazio;OD:574600;Italy
432;574800;Paglia a Proceno;11.8564;42.7642;269;269;NA;Lazio;Paglia a Proceno;OD:574800;Italy
433;574900;Ronciglione rlazio;12.2042;42.2964;502;502;NA;Lazio;Ronciglione rlazio;OD:574900;Italy
434;575000;Fosso di Pantanello ad Ostia;12.3608;41.7172;8;8;NA;Lazio;Ostia Pantanello;OD:575000;Italy
435;575100;Aprilia;12.6483;41.5939;76;76;NA;Lazio;Aprilia;OD:575100;Italy
436;575300;Lago di Nemi;12.6992;41.7189;443;443;NA;Lazio;Lago di Nemi;OD:575300;Italy
437;575500;Ponte Ferraioli;13.0989;41.4622;2;2;NA;Lazio;Ponte Ferraioli;OD:575500;Italy
438;575600;Priverno;13.1858;41.4708;32;32;NA;Lazio;Priverno;OD:575600;Italy
439;575700;Norma;12.9708;41.5869;439;439;NA;Lazio;Norma;OD:575700;Italy
441;576000;Rio Cassano;13.0264;41.3728;21;21;NA;Lazio;Rio Cassano;OD:576000;Italy
